date,deaths,daily
12/03/2020,1,1
29/03/2020,2,1
14/04/2020,3,1
16/04/2020,4,1
17/04/2020,8,4
19/04/2020,10,2
23/04/2020,12,2
24/04/2020,13,1
25/04/2020,17,4
27/04/2020,18,1
28/04/2020,21,3
29/04/2020,23,2
30/04/2020,24,1
01/05/2020,27,3
02/05/2020,30,3
03/05/2020,30,0
04/05/2020,30,0
05/05/2020,31,1
06/05/2020,34,3
07/05/2020,37,3
08/05/2020,41,4
09/05/2020,43,2
10/05/2020,47,4
11/05/2020,48,1
12/05/2020,52,4
13/05/2020,57,5
14/05/2020,58,1
15/05/2020,60,2
16/05/2020,63,3
17/05/2020,66,3
18/05/2020,67,1
19/05/2020,69,2
20/05/2020,71,2
21/05/2020,76,5
22/05/2020,82,6
23/05/2020,87,5
24/05/2020,91,4
25/05/2020,97,6
26/05/2020,103,6
27/05/2020,114,11
28/05/2020,124,10
29/05/2020,134,10
30/05/2020,156,22
31/05/2020,161,5
01/06/2020,167,6
02/06/2020,172,5
03/06/2020,184,12
04/06/2020,189,5
05/06/2020,194,5
06/06/2020,203,9
07/06/2020,214,11
08/06/2020,221,7
09/06/2020,225,4
10/06/2020,232,7
11/06/2020,241,9
12/06/2020,245,4
13/06/2020,247,2
14/06/2020,249,2
15/06/2020,250,1
16/06/2020,254,4
17/06/2020,256,2
18/06/2020,258,2
19/06/2020,260,2
20/06/2020,262,2
21/06/2020,263,1
22/06/2020,265,2
23/06/2020,265,0
24/06/2020,270,5
25/06/2020,272,2
26/06/2020,274,2
27/06/2020,274,0
28/06/2020,275,1
29/06/2020,276,1
30/06/2020,276,0
01/07/2020,276,0
02/07/2020,276,0
03/07/2020,281,5
04/07/2020,282,1
05/07/2020,283,1
06/07/2020,285,2
07/07/2020,286,1
08/07/2020,286,0
09/07/2020,287,1
10/07/2020,289,2
11/07/2020,289,0
12/07/2020,290,1
13/07/2020,290,0
14/07/2020,290,0
15/07/2020,291,1
16/07/2020,294,3
17/07/2020,294,0
18/07/2020,295,1
19/07/2020,295,0
20/07/2020,296,1
21/07/2020,296,0
22/07/2020,296,0
23/07/2020,296,0
24/07/2020,296,0
25/07/2020,298,2
26/07/2020,298,0
27/07/2020,299,1
28/07/2020,300,1
29/07/2020,305,5
30/07/2020,305,0
31/07/2020,305,0
01/08/2020,305,0
02/08/2020,305,0
03/08/2020,305,0
04/08/2020,306,1
05/08/2020,306,0
06/08/2020,306,0
07/08/2020,307,1
08/08/2020,308,1
09/08/2020,309,1
10/08/2020,311,2
11/08/2020,312,1
12/08/2020,312,0
13/08/2020,312,0
14/08/2020,312,0
15/08/2020,312,0
16/08/2020,312,0
17/08/2020,313,1
18/08/2020,315,2
19/08/2020,315,0
20/08/2020,316,1
21/08/2020,316,0
22/08/2020,318,2
23/08/2020,318,0
24/08/2020,319,1
25/08/2020,320,1
26/08/2020,320,0
27/08/2020,320,0
02/09/2020,322,2
05/09/2020,322,0
07/09/2020,322,0
07/11/2020,323,1
16/11/2020,325,2
17/11/2020,326,1
18/11/2020,342,6
19/11/2020,349,7
20/11/2020,349,0
21/11/2020,349,2
22/11/2020,352,3
23/11/2020,361,8
24/11/2020,366,5
25/11/2020,371,5
26/11/2020,386,15
